X,CH1,CH2,
Second,Volt,Volt,
-1.20000e-03,8.00e-01,8.00e-03
-1.19600e-03,8.00e-01,6.00e-03
-1.19200e-03,8.00e-01,8.00e-03
-1.18800e-03,8.00e-01,4.00e-03
-1.18400e-03,8.00e-01,4.00e-03
-1.18000e-03,1.60e+00,1.00e-02
-1.17600e-03,1.60e+00,4.00e-03
-1.17200e-03,8.00e-01,1.00e-02
-1.16800e-03,8.00e-01,1.00e-02
-1.16400e-03,1.60e+00,4.00e-03
-1.16000e-03,1.60e+00,4.00e-03
-1.15600e-03,8.00e-01,1.00e-02
-1.15200e-03,8.00e-01,6.00e-03
-1.14800e-03,8.00e-01,8.00e-03
-1.14400e-03,1.60e+00,8.00e-03
-1.14000e-03,8.00e-01,6.00e-03
-1.13600e-03,8.00e-01,1.00e-02
-1.13200e-03,1.60e+00,6.00e-03
-1.12800e-03,1.60e+00,4.00e-03
-1.12400e-03,1.60e+00,1.00e-02
-1.12000e-03,1.60e+00,8.00e-03
-1.11600e-03,8.00e-01,6.00e-03
-1.11200e-03,1.60e+00,6.00e-03
-1.10800e-03,8.00e-01,8.00e-03
-1.10400e-03,8.00e-01,1.00e-02
-1.10000e-03,1.60e+00,2.00e-03
-1.09600e-03,8.00e-01,2.00e-03
-1.09200e-03,1.60e+00,1.00e-02
-1.08800e-03,8.00e-01,4.00e-03
-1.08400e-03,8.00e-01,8.00e-03
-1.08000e-03,8.00e-01,2.00e-03
-1.07600e-03,1.60e+00,8.00e-03
-1.07200e-03,1.60e+00,8.00e-03
-1.06800e-03,8.00e-01,4.00e-03
-1.06400e-03,8.00e-01,4.00e-03
-1.06000e-03,1.60e+00,6.00e-03
-1.05600e-03,8.00e-01,6.00e-03
-1.05200e-03,8.00e-01,4.00e-03
-1.04800e-03,1.60e+00,2.00e-03
-1.04400e-03,8.00e-01,6.00e-03
-1.04000e-03,8.00e-01,6.00e-03
-1.03600e-03,8.00e-01,2.40e-02
-1.03200e-03,8.00e-01,4.00e-03
-1.02800e-03,1.60e+00,8.00e-03
-1.02400e-03,8.00e-01,8.00e-03
-1.02000e-03,8.00e-01,4.00e-03
-1.01600e-03,8.00e-01,8.00e-03
-1.01200e-03,1.60e+00,6.00e-03
-1.00800e-03,8.00e-01,4.00e-03
